,Date,Open,High,Low,Close,Volume,Adj Close
999,2019-01-28,10006.46,10020.6,9990.07,10013.33,95630192,10013.33
1000,2019-01-29,9944.71,9952.34,9893.96,9931.59,90336972,9931.59
1001,2019-01-30,9915.97,9959.03,9909.81,9932.26,103214673,9932.26
1002,2019-02-11,10029.84,10065.52,9988.83,10004.25,134792174,10004.25
1003,2019-02-12,10032.08,10100.23,10032.08,10097.74,125126588,10097.74
1004,2019-02-13,10123.61,10140.98,10074.34,10090.58,140519410,10090.58
1005,2019-02-14,10095.99,10135.62,10082.0,10089.01,113623368,10089.01
1006,2019-02-15,10111.18,10135.16,10055.5,10064.78,114028492,10064.78
1007,2019-02-18,10096.94,10165.77,10096.94,10145.28,107917759,10145.28
1008,2019-02-19,10152.11,10173.47,10143.15,10152.26,105312904,10152.26
1009,2019-02-20,10181.94,10272.46,10181.94,10272.46,134467143,10272.46
1010,2019-02-21,10282.32,10319.53,10256.53,10319.53,124999488,10319.53
1011,2019-02-22,10309.02,10322.92,10269.95,10322.92,117573674,10322.92
1012,2019-02-25,10343.45,10390.93,10343.45,10390.93,135427392,10390.93
1013,2019-02-26,10403.03,10416.91,10368.86,10391.55,140713916,10391.55
1014,2019-02-27,10385.81,10403.05,10343.56,10389.17,137560786,10389.17
1015,2019-03-04,10385.25,10402.39,10313.18,10349.88,141139737,10349.88
1016,2019-03-05,10323.25,10334.34,10295.44,10305.26,106043539,10305.26
1017,2019-03-06,10328.18,10359.12,10327.9,10357.15,101391533,10357.15
1018,2019-03-07,10359.47,10367.98,10299.46,10311.68,108824383,10311.68
1019,2019-03-08,10274.28,10274.28,10204.21,10241.75,105782677,10241.75
1020,2019-03-11,10224.27,10269.3,10214.02,10250.28,94174980,10250.28
1021,2019-03-12,10294.37,10382.12,10294.37,10343.33,111136196,10343.33
1022,2019-03-13,10331.27,10373.32,10331.27,10373.32,97359550,10373.32
1023,2019-03-14,10391.3,10407.27,10339.64,10348.65,115597463,10348.65
1024,2019-03-15,10374.66,10439.24,10370.0,10439.24,154553511,10439.24
1025,2019-03-18,10455.19,10512.7,10445.74,10512.7,116798768,10512.7
1026,2019-03-19,10497.4,10525.6,10484.69,10512.32,118590384,10512.32
1027,2019-03-20,10529.3,10556.81,10506.96,10551.56,119306190,10551.56
1028,2019-03-21,10563.93,10612.34,10551.67,10609.55,112872190,10609.55
1029,2019-03-22,10642.57,10667.94,10589.47,10639.07,131795029,10639.07
1030,2019-03-25,10535.12,10535.12,10458.79,10479.48,109522975,10479.48
1031,2019-03-26,10506.68,10559.2,10506.68,10559.2,105336001,10559.2
1032,2019-03-27,10542.68,10556.75,10515.86,10542.7,105485685,10542.7
1033,2019-03-28,10529.02,10536.26,10499.29,10536.26,90628313,10536.26
1034,2019-03-29,10551.99,10641.04,10525.27,10641.04,123798869,10641.04
1035,2019-04-01,10714.68,10735.07,10627.01,10642.63,154423252,10642.63
1036,2019-04-02,10695.47,10728.38,10685.1,10690.3,135411471,10690.3
1037,2019-04-03,10725.17,10741.56,10690.23,10704.38,117965065,10704.38
1038,2019-04-08,10759.96,10807.05,10759.96,10800.57,160156379,10800.57
1039,2019-04-09,10805.39,10851.6,10793.77,10851.6,139655298,10851.6
1040,2019-04-10,10839.93,10875.65,10815.61,10868.14,131467143,10868.14
1041,2019-04-11,10869.24,10887.12,10797.76,10808.77,140396633,10808.77
1042,2019-04-12,10820.94,10836.44,10782.02,10805.3,121020256,10805.3
1043,2019-04-15,10849.84,10897.21,10849.55,10875.6,120260530,10875.6
